학번,이름,주소,전화번호,입학일,1학기성적,여름학기성적,2학기성적,겨울학기성적,전체평점
2026591016,원종우,서울시 강남구,010-3133-2293,2024-03-03,4.3,4.8,4.7,4.9,
2026591022,이우진,서울시 강남구,010-2222-2222,2024-03-02,3.2,3.5,3.7,3.4,
2026591023,김한율,경기도 성남시,010-3333-3333,2024-03-02,3.5,4.6,3.4,4.7,
2026591024,한태영,경기도 수원시,010-4444-4444,2024-03-02,3.8,3.4,3.9,4.1,
2026591025,이동현,인천시 연수구,010-5555-5555,2024-03-02,2.9,3.1,3.4,3.2,
2026591026,이아랑,부산시 해운대구,010-6666-6666,2024-03-02,2.0,2.2,2.8,4.1,
2026591027,박성원,경기도 고양시,010-7777-7777,2024-03-02,3.6,3.7,3.8,3.9,
2026591028,윤원희,서울시 송파구,010-8888-8888,2024-03-02,4.8,4.0,4.2,4.1,
2026591029,박준혁,대전시 서구,010-9999-9999,2024-03-02,4.7,4.5,4.8,4.6,
2026591030,김현섭,경기도 용인시,010-1212-3434,2024-03-02,3.4,3.6,3.5,3.7,
2026591031,오정현,광주시 북구,010-2323-4545,2024-03-02,2.1,2.3,2.2,2.0,
2026591032,정세윤,대구시 수성구,010-3434-5656,2024-03-02,3.3,3.2,3.6,3.8,
2026591033,이준하,경기도 안양시,010-4545-6767,2024-03-02,4.4,4.2,4.5,4.3,
2026591034,정재훈,울산시 남구,010-5656-7878,2024-03-02,3.1,3.3,3.4,3.5,
2026591035,최우진,서울시 마포구,010-6767-8989,2024-03-02,2.8,4.9,4.7,3.8,
